estu_consecutivo_sb11,periodo_sb11,estu_consecutivo_sbpro,periodo_sbpro
SB11201120209353,20112,EK201830003181,20183
SB11201220320225,20122,EK201830004965,20183
SB11201120319509,20112,EK201830004966,20183
SB11201120337719,20112,EK201830004967,20183
SB11201120360650,20112,EK201830004968,20183
SB11201220286446,20122,EK201830004969,20183
SB11201120355233,20112,EK201830004970,20183
SB11201020335292,20102,EK201830004971,20183
SB11201020092111,20102,EK201830004972,20183
SB11201220332845,20122,EK201830004973,20183
SB11201420135697,20142,EK201830004975,20183
SB11201020319307,20102,EK201830004976,20183
SB11201410068471,20141,EK201830004978,20183
SB11201320244333,20132,EK201830004979,20183
SB11201320240354,20132,EK201830004980,20183
SB11201020290822,20102,EK201830004981,20183
SB11201320012043,20132,EK201830004982,20183
SB11201320241282,20132,EK201830004983,20183
SB11201020494825,20102,EK201830004984,20183
SB1120082077994234,20082,EK201830004985,20183
SB11201220307728,20122,EK201830004986,20183
SB11201320073485,20132,EK201830004987,20183
SB11201220340819,20122,EK201830004988,20183
SB11201320024515,20132,EK201830004989,20183
SB11201420033452,20142,EK201830004990,20183
SB11201220572007,20122,EK201830004991,20183
SB11201220305603,20122,EK201830004992,20183
SB11201220290130,20122,EK201830004993,20183
SB11201220299017,20122,EK201830004994,20183
SB11201320208239,20132,EK201830004996,20183
SB11201020292280,20102,EK201830004997,20183
SB11201220462626,20122,EK201830004998,20183
SB11201320544640,20132,EK201830004999,20183
SB11201220475730,20122,EK201830005000,20183
SB11201320327359,20132,EK201830005001,20183
SB11201120340316,20112,EK201830005002,20183
SB11201220585382,20122,EK201830005003,20183
SB11201020309526,20102,EK201830005004,20183
SB11201220337155,20122,EK201830005005,20183
SB11201420410461,20142,EK201830005006,20183
SB11201320287965,20132,EK201830005007,20183
SB1120082007197795,20082,EK201830005008,20183
SB11201320223463,20132,EK201830005009,20183
SB11201220459416,20122,EK201830005011,20183
SB11201410014145,20141,EK201830005012,20183
SB1120082199690988,20082,EK201830005013,20183
SB11201210060238,20121,EK201830005144,20183
SB11201120319209,20112,EK201830005283,20183
SB11201220321865,20122,EK201830005284,20183
SB11201220306526,20122,EK201830005285,20183
SB11201120334021,20112,EK201830005286,20183
SB11201120316405,20112,EK201830005287,20183
SB11201320166350,20132,EK201830005288,20183
SB11201220348938,20122,EK201830005289,20183
SB11201120478139,20112,EK201830005290,20183
SB11201220327660,20122,EK201830005291,20183
SB11201320559105,20132,EK201830005292,20183
SB11201220355573,20122,EK201830005293,20183
SB11201210059433,20121,EK201830005294,20183
SB11201220474083,20122,EK201830005295,20183
SB1120012087549211,20012,EK201830005296,20183
SB11201220312429,20122,EK201830005297,20183
